date;age;sex;vrs_cases
2009-10-11;2;Female;1
2009-10-11;4;Male;1
2009-10-12;0;Female;1
2009-10-12;0;Male;3
2009-10-12;1;Female;1
2009-10-13;0;Female;24
2009-10-13;0;Male;38
2009-10-13;1;Female;10
2009-10-13;1;Male;8
2009-10-13;2;Female;1
2009-10-13;2;Male;4
2009-10-13;3;Female;1
2009-10-13;3;Male;1
2009-10-13;4;Female;1
2009-10-13;4;Male;1
2009-10-14;0;Female;16
2009-10-14;0;Male;24
2009-10-14;1;Female;6
2009-10-14;1;Male;8
2009-10-14;2;Female;1
2009-10-14;4;Male;1
2009-10-15;0;Female;15
2009-10-15;0;Male;15
2009-10-15;1;Female;3
2009-10-15;1;Male;10
2009-10-15;2;Female;1
2009-10-15;2;Male;1
2009-10-16;0;Female;12
2009-10-16;0;Male;19
2009-10-16;1;Female;2
2009-10-16;1;Male;12
2009-10-16;2;Male;4
2009-10-16;3;Female;1
2009-10-16;4;Female;1
2009-10-17;0;Female;1
2009-10-17;0;Male;1
2009-10-17;2;Male;1
2009-10-18;0;Male;1
2009-10-18;1;Female;1
2009-10-19;0;Female;15
2009-10-19;0;Male;24
2009-10-19;1;Female;2
2009-10-19;1;Male;6
2009-10-19;2;Female;2
2009-10-19;2;Male;1
2009-10-19;3;Male;1
2009-10-19;4;Female;1
2009-10-20;0;Female;18
2009-10-20;0;Male;28
2009-10-20;1;Female;6
2009-10-20;1;Male;8
2009-10-20;2;Female;1
2009-10-20;3;Female;1
2009-10-20;3;Male;3
2009-10-20;4;Male;1
2009-10-21;0;Female;10
2009-10-21;0;Male;17
2009-10-21;1;Female;2
2009-10-21;1;Male;4
2009-10-21;2;Female;2
2009-10-22;0;Female;13
2009-10-22;0;Male;20
2009-10-22;1;Female;4
2009-10-22;1;Male;8
2009-10-22;2;Female;3
2009-10-22;2;Male;4
2009-10-22;3;Male;3
2009-10-23;0;Female;14
2009-10-23;0;Male;24
2009-10-23;1;Female;4
2009-10-23;1;Male;3
2009-10-23;2;Female;3
2009-10-23;2;Male;2
2009-10-23;3;Female;2
2009-10-23;3;Male;1
2009-10-23;4;Female;1
2009-10-24;0;Female;1
2009-10-24;0;Male;2
2009-10-25;0;Male;2
2009-10-25;1;Male;1
2009-10-26;0;Female;17
2009-10-26;0;Male;30
2009-10-26;1;Female;4
2009-10-26;1;Male;14
2009-10-26;2;Female;3
2009-10-26;2;Male;3
2009-10-26;3;Male;2
2009-10-26;4;Female;2
2009-10-26;4;Male;4
2009-10-27;0;Female;21
2009-10-27;0;Male;25
2009-10-27;1;Female;8
2009-10-27;1;Male;6
2009-10-27;2;Female;4
2009-10-27;2;Male;1
2009-10-27;3;Female;1
2009-10-27;4;Male;1
2009-10-28;0;Female;13
2009-10-28;0;Male;32
2009-10-28;1;Female;5
2009-10-28;1;Male;4
2009-10-28;2;Female;2
2009-10-28;2;Male;1
2009-10-28;3;Male;1
2009-10-28;4;Male;1
2009-10-29;0;Female;16
2009-10-29;0;Male;17
2009-10-29;1;Female;1
2009-10-29;1;Male;5
2009-10-29;2;Female;2
2009-10-29;2;Male;1
2009-10-29;3;Male;1
2009-10-29;4;Female;1
2009-10-30;0;Female;13
2009-10-30;0;Male;27
2009-10-30;1;Female;5
2009-10-30;1;Male;5
2009-10-30;2;Female;4
2009-10-30;2;Male;4
2009-10-30;3;Female;2
2009-10-30;3;Male;1
2009-10-30;4;Female;1
2009-10-30;4;Male;1
2009-10-31;0;Female;1
2009-10-31;0;Male;3
2009-10-31;1;Female;1
2009-10-31;1;Male;1
2009-10-31;2;Male;1
2009-10-31;3;Female;2
2009-11-01;0;Male;3
2009-11-01;2;Female;1
2009-11-01;4;Female;1
2009-11-02;0;Female;25
2009-11-02;0;Male;30
2009-11-02;1;Female;5
2009-11-02;1;Male;5
2009-11-02;2;Female;2
2009-11-02;2;Male;5
2009-11-02;3;Female;1
2009-11-02;3;Male;1
2009-11-03;0;Female;20
2009-11-03;0;Male;27
2009-11-03;1;Female;5
2009-11-03;1;Male;8
2009-11-03;2;Female;3
2009-11-03;3;Female;2
2009-11-03;4;Female;2
2009-11-04;0;Female;14
2009-11-04;0;Male;20
2009-11-04;1;Female;6
2009-11-04;1;Male;4
2009-11-04;2;Female;1
2009-11-04;2;Male;1
2009-11-04;3;Female;1
2009-11-04;3;Male;3
2009-11-05;0;Female;17
2009-11-05;0;Male;38
2009-11-05;1;Female;6
2009-11-05;1;Male;10
2009-11-05;2;Male;3
2009-11-05;3;Female;2
2009-11-05;3;Male;1
2009-11-05;4;Male;1
2009-11-06;0;Female;18
2009-11-06;0;Male;22
2009-11-06;1;Female;6
2009-11-06;1;Male;6
2009-11-06;2;Male;2
2009-11-06;4;Female;1
2009-11-07;0;Male;2
2009-11-07;1;Female;1
2009-11-07;2;Male;1
2009-11-07;4;Male;1
2009-11-08;0;Female;1
2009-11-08;0;Male;2
2009-11-09;0;Female;23
2009-11-09;0;Male;23
2009-11-09;1;Female;7
2009-11-09;1;Male;16
2009-11-09;2;Female;3
2009-11-09;2;Male;2
2009-11-09;3;Male;1
2009-11-09;4;Female;2
2009-11-10;0;Female;20
2009-11-10;0;Male;28
2009-11-10;1;Female;7
2009-11-10;1;Male;11
2009-11-10;2;Male;4
2009-11-11;0;Female;13
2009-11-11;0;Male;35
2009-11-11;1;Female;4
2009-11-11;1;Male;7
2009-11-11;2;Female;2
2009-11-11;2;Male;4
2009-11-11;3;Male;1
2009-11-11;4;Male;3
2009-11-12;0;Female;18
2009-11-12;0;Male;27
2009-11-12;1;Female;4
2009-11-12;1;Male;5
2009-11-12;2;Female;2
2009-11-13;0;Female;8
2009-11-13;0;Male;30
2009-11-13;1;Female;8
2009-11-13;1;Male;10
2009-11-13;2;Male;3
2009-11-13;4;Male;1
2009-11-14;0;Female;3
2009-11-14;0;Male;4
2009-11-15;0;Female;2
2009-11-15;1;Female;1
2009-11-15;2;Female;1
2009-11-16;0;Female;24
2009-11-16;0;Male;41
2009-11-16;1;Female;6
2009-11-16;1;Male;7
2009-11-16;2;Female;1
2009-11-16;2;Male;2
2009-11-16;3;Male;1
2009-11-16;4;Female;1
2009-11-17;0;Female;24
2009-11-17;0;Male;45
2009-11-17;1;Female;7
2009-11-17;1;Male;9
2009-11-17;2;Male;3
2009-11-17;4;Male;1
2009-11-18;0;Female;20
2009-11-18;0;Male;29
2009-11-18;1;Female;12
2009-11-18;1;Male;6
2009-11-18;2;Female;2
2009-11-18;2;Male;2
2009-11-18;4;Female;1
2009-11-18;4;Male;2
2009-11-19;0;Female;27
2009-11-19;0;Male;29
2009-11-19;1;Female;8
2009-11-19;1;Male;4
2009-11-19;2;Female;2
2009-11-19;2;Male;2
2009-11-19;3;Female;1
2009-11-20;0;Female;25
2009-11-20;0;Male;35
2009-11-20;1;Female;8
2009-11-20;1;Male;8
2009-11-20;2;Male;3
2009-11-20;3;Female;1
2009-11-20;4;Female;1
2009-11-21;0;Female;4
2009-11-21;0;Male;6
2009-11-21;1;Female;1
2009-11-21;1;Male;3
2009-11-21;2;Female;2
2009-11-22;0;Female;3
2009-11-22;0;Male;1
2009-11-22;4;Female;1
